time,train_position,n1_quality,n2_quality,n3_quality,n1_latency,n2_latency,n3_latency,n1_loss,n2_loss,n3_loss,n1_load,n2_load,n3_load,n1_score,n2_score,n3_score,selected_link
1,20,0.6,0,0,20,35,50,3.2,8,8,12,0,0,0.73,0,0,1
6,120,0.822222,0.155556,0,20,35,50,1.42222,6.75556,8,9,3,0,0.863333,0.3575,0,1
11,220,0.955556,0.377778,0,20,35,50,0.355556,4.97778,8,8,4,0,0.943333,0.490833,0,1
16,320,0.733333,0.6,0,20,35,50,2.13333,3.2,8,7,5,0,0.81,0.624167,0,1
21,420,0.511111,0.822222,0.155556,20,35,50,3.91111,1.42222,6.75556,5,5,2,0.676667,0.7575,0.293333,2
26,520,0.288889,0.955556,0.377778,20,35,50,5.68889,0.355556,4.97778,3,6,3,0.543333,0.8375,0.426667,2
31,620,0.0666667,0.733333,0.6,20,35,50,7.46667,2.13333,3.2,3,5,4,0.41,0.704167,0.56,2
36,720,0,0.511111,0.822222,20,35,50,8,3.91111,1.42222,0,5,7,0,0.570833,0.693333,3
41,820,0,0.288889,0.955556,20,35,50,8,5.68889,0.355556,0,4,8,0,0.4375,0.773333,3
46,920,0,0.0666667,0.733333,20,35,50,8,7.46667,2.13333,0,4,8,0,0.304167,0.64,3
51,1020,0,0,0.511111,20,35,50,8,8,3.91111,0,0,12,0,0,0.506667,3
56,1120,0,0,0.288889,20,35,50,8,8,5.68889,0,0,12,0,0,0.373333,3
