time,train_position,train_speed,passenger_count,decision_interval,n1_quality,n2_quality,n3_quality,n1_latency,n2_latency,n3_latency,n1_loss,n2_loss,n3_loss,n1_load,n2_load,n3_load,n1_score,n2_score,n3_score,selected_link
1,10,10,6,2,0.577778,0,0,20,35,50,3.37778,8,8,6,0,0,0.716667,0,0,1
3,30,10,6,2,0.622222,0,0,20,35,50,3.02222,8,8,6,0,0,0.743333,0,0,1
5,50,10,6,2,0.666667,0,0,20,35,50,2.66667,8,8,6,0,0,0.77,0,0,1
7,70,10,6,2,0.711111,0.0444444,0,20,35,50,2.31111,7.64444,8,6,0,0,0.796667,0,0,1
9,90,10,6,2,0.755556,0.0888889,0,20,35,50,1.95556,7.28889,8,5,1,0,0.823333,0.3175,0,1
11,110,10,6,2,0.8,0.133333,0,20,35,50,1.6,6.93333,8,4,2,0,0.85,0.344167,0,1
13,130,10,6,2,0.844444,0.177778,0,20,35,50,1.24444,6.57778,8,4,2,0,0.876667,0.370833,0,1
15,150,10,6,2,0.888889,0.222222,0,20,35,50,0.888889,6.22222,8,4,2,0,0.903333,0.3975,0,1
17,170,10,6,2,0.933333,0.266667,0,20,35,50,0.533333,5.86667,8,4,2,0,0.93,0.424167,0,1
19,190,10,6,2,0.977778,0.311111,0,20,35,50,0.177778,5.51111,8,4,2,0,0.956667,0.450833,0,1
21,210,10,6,2,0.977778,0.355556,0,20,35,50,0.177778,5.15556,8,4,2,0,0.956667,0.4775,0,1
23,230,10,6,2,0.933333,0.4,0,20,35,50,0.533333,4.8,8,4,2,0,0.93,0.504167,0,1
25,250,10,6,2,0.888889,0.444444,0,20,35,50,0.888889,4.44444,8,4,2,0,0.903333,0.530833,0,1
27,270,10,6,2,0.844444,0.488889,0,20,35,50,1.24444,4.08889,8,4,2,0,0.876667,0.5575,0,1
29,290,10,6,2,0.8,0.533333,0,20,35,50,1.6,3.73333,8,4,2,0,0.85,0.584167,0,1
31,310,10,6,2,0.755556,0.577778,0,20,35,50,1.95556,3.37778,8,4,2,0,0.823333,0.610833,0,1
33,330,10,6,2,0.711111,0.622222,0,20,35,50,2.31111,3.02222,8,3,3,0,0.796667,0.6375,0,1
35,350,10,6,2,0.666667,0.666667,0,20,35,50,2.66667,2.66667,8,3,3,0,0.77,0.664167,0,1
37,370,10,6,2,0.622222,0.711111,0.0444444,20,35,50,3.02222,2.31111,7.64444,3,3,0,0.743333,0.690833,0,1
39,390,10,6,2,0.577778,0.755556,0.0888889,20,35,50,3.37778,1.95556,7.28889,2,3,1,0.716667,0.7175,0.253333,2
41,410,10,6,2,0.533333,0.8,0.133333,20,35,50,3.73333,1.6,6.93333,2,3,1,0.69,0.744167,0.28,2
43,430,10,6,2,0.488889,0.844444,0.177778,20,35,50,4.08889,1.24444,6.57778,2,3,1,0.663333,0.770833,0.306667,2
45,450,10,6,2,0.444444,0.888889,0.222222,20,35,50,4.44444,0.888889,6.22222,2,3,1,0.636667,0.7975,0.333333,2
47,470,10,6,2,0.4,0.933333,0.266667,20,35,50,4.8,0.533333,5.86667,2,3,1,0.61,0.824167,0.36,2
49,490,10,6,2,0.355556,0.977778,0.311111,20,35,50,5.15556,0.177778,5.51111,2,3,1,0.583333,0.850833,0.386667,2
51,510,10,6,2,0.311111,0.977778,0.355556,20,35,50,5.51111,0.177778,5.15556,2,3,1,0.556667,0.850833,0.413333,2
53,530,10,6,2,0.266667,0.933333,0.4,20,35,50,5.86667,0.533333,4.8,2,3,1,0.53,0.824167,0.44,2
55,550,10,6,2,0.222222,0.888889,0.444444,20,35,50,6.22222,0.888889,4.44444,2,3,1,0.503333,0.7975,0.466667,2
57,570,10,6,2,0.177778,0.844444,0.488889,20,35,50,6.57778,1.24444,4.08889,1,3,2,0.476667,0.770833,0.493333,2
59,590,10,6,2,0.133333,0.8,0.533333,20,35,50,6.93333,1.6,3.73333,1,3,2,0.45,0.744167,0.52,2
1,10,10,6,5,0.577778,0,0,20,35,50,3.37778,8,8,6,0,0,0.716667,0,0,1
6,60,10,6,5,0.688889,0.0222222,0,20,35,50,2.48889,7.82222,8,6,0,0,0.783333,0,0,1
11,110,10,6,5,0.8,0.133333,0,20,35,50,1.6,6.93333,8,4,2,0,0.85,0.344167,0,1
16,160,10,6,5,0.911111,0.244444,0,20,35,50,0.711111,6.04444,8,4,2,0,0.916667,0.410833,0,1
21,210,10,6,5,0.977778,0.355556,0,20,35,50,0.177778,5.15556,8,4,2,0,0.956667,0.4775,0,1
