seed,time,train_position,n1_quality,n2_quality,n3_quality,n1_latency,n2_latency,n3_latency,n1_loss,n2_loss,n3_loss,n1_load,n2_load,n3_load,n1_score,n2_score,n3_score,selected_link
1001,1,20,0.654519,0,0,20,35,50,1.74195,8.60091,7.87907,12,0,0,0.784337,0,0,1
1001,6,120,0.926907,0.0795074,0,20,35,50,0.775787,7.37937,8.01553,9,3,0,0.932515,0.30987,0,1
1001,11,220,0.975104,0.3467,0,20,35,50,0.497882,5.50247,8.35267,8,4,0,0.972101,0.46707,0,1
1001,16,320,0.666996,0.717471,0,20,35,50,2.98906,2.76649,7.64747,6,6,0,0.749178,0.670713,0,1
1001,21,420,0.46078,0.801671,0.0877413,20,35,50,4.4194,1.4798,7.264,5,5,2,0.640692,0.740529,0.26473,2
1001,26,520,0.275695,1,0.39121,20,35,50,5.35357,0,5.13789,3,6,3,0.543749,0.870862,0.42612,2
1001,31,620,0.0134732,0.829958,0.54883,20,35,50,7.63907,1.2565,2.3636,0,7,5,0,0.782992,0.564095,2
1001,36,720,0,0.650291,0.724354,20,35,50,9.18765,3.24302,2.64371,0,6,6,0,0.65006,0.611756,2
1001,41,820,0,0.215918,0.893002,20,35,50,8.83692,6.01569,1.43177,0,4,8,0,0.395835,0.724848,3
1001,46,920,0,0,0.793688,20,35,50,7.48696,8.32455,2.12197,0,0,12,0,0,0.666149,3
1001,51,1020,0,0,0.547244,20,35,50,7.75291,8.00719,3.98895,0,0,12,0,0,0.517791,3
1001,56,1120,0,0,0.325025,20,35,50,8.01845,7.60368,6.94051,0,0,12,0,0,0.372724,3
1002,1,20,0.644887,0,0,20,35,50,2.68256,7.44676,7.69414,12,0,0,0.772136,0,0,1
1002,6,120,0.759799,0.150233,0,20,35,50,1.03429,6.66257,9.06411,9,3,0,0.828771,0.351513,0,1
1002,11,220,1,0.436108,0,20,35,50,0,4.27923,7.13928,8,4,0,0.973043,0.526213,0,1
1002,16,320,0.705464,0.572496,0,20,35,50,1.62941,3.75843,8.38778,7,5,0,0.806314,0.607739,0,1
1002,21,420,0.571648,0.853229,0.245897,20,35,50,3.78281,1.15873,5.40808,5,5,2,0.703309,0.792241,0.357482,2
1002,26,520,0.189649,0.856224,0.291842,20,35,50,6.54931,1.51379,5.14974,3,6,3,0.477874,0.784124,0.384302,2
1002,31,620,0.101915,0.755814,0.680322,20,35,50,7.15892,1.45038,2.35644,3,5,4,0.42715,0.724037,0.616577,2
1002,36,720,0,0.46679,0.90399,20,35,50,8.18856,5.07039,0.520103,0,5,7,0,0.529491,0.743213,3
1002,41,820,0,0.277365,0.846164,20,35,50,8.09008,5.03253,0.855267,0,5,7,0,0.448609,0.712295,3
1002,46,920,0,0.0872611,0.725979,20,35,50,8.28709,7.68311,2.02901,0,4,8,0,0.321138,0.631546,3
1002,51,1020,0,0,0.619102,20,35,50,7.61556,8.17998,3.15986,0,0,12,0,0,0.573869,3
1002,56,1120,0,0,0.273155,20,35,50,7.78523,8.08593,4.80103,0,0,12,0,0,0.389295,3
1003,1,20,0.677157,0,0,20,35,50,2.01949,8.42345,8.05491,12,0,0,0.786849,0,0,1
1003,6,120,0.660197,0.1477,0,20,35,50,2.12818,6.61285,8.96508,8,4,0,0.772808,0.365482,0,1
1003,11,220,1,0.434341,0,20,35,50,0.69721,4.77486,8.35014,8,4,0,0.959847,0.512826,0,1
1003,16,320,0.784535,0.557851,0,20,35,50,1.63656,3.3058,8.00556,7,5,0,0.835576,0.595907,0,1
1003,21,420,0.49141,0.848037,0.113047,20,35,50,4.13317,1.72999,5.88311,5,5,2,0.678543,0.765885,0.289072,2
1003,26,520,0.28727,0.91661,0.308944,20,35,50,5.81969,0.441175,5.22605,4,6,2,0.552074,0.81211,0.393668,2
1003,31,620,0.110156,0.689144,0.582145,20,35,50,7.78727,2.81481,3.61114,3,5,4,0.425816,0.672902,0.550564,2
1003,36,720,0,0.457338,0.780106,20,35,50,9.32272,4.46113,1.79096,0,5,7,0,0.541335,0.676077,3
1003,41,820,0,0.248226,1,20,35,50,8.108,5.78353,0,0,4,8,0,0.415847,0.807657,3
1003,46,920,0,0.0462921,0.704425,20,35,50,7.50257,7.09669,2.15229,0,0,12,0,0,0.622931,3
1003,51,1020,0,0,0.589976,20,35,50,8.65806,7.71719,3.41289,0,0,12,0,0,0.559807,3
